"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
39.1,0.4,22.9,BF05,5,1k,1000,Freq#1
39.1,0.4,22.1,BF05,5,1k,1000,Freq#2
39.9,0.4,21.3,BF05,5,1k,1000,Freq#3
39.0,0.4,20.9,BF05,5,1k,1000,Freq#4
38.8,0.4,21.0,BF05,5,1k,1000,Freq#5
45.9,0.4,22.8,BF05,5,1k,1000,H_l#1
47.1,0.4,21.5,BF05,5,1k,1000,H_l#2
47.3,0.4,21.3,BF05,5,1k,1000,H_l#3
41.8,0.4,22.6,BF05,5,1k,1000,H_l#4
39.5,0.5,23.2,BF05,5,1k,1000,H_l#5
42.6,1.1,18.5,BF05,5,1k,1000,MC_AIXI#1
44.2,1.2,19.7,BF05,5,1k,1000,MC_AIXI#2
39.5,1.1,17.5,BF05,5,1k,1000,MC_AIXI#3
41.1,1.1,17.7,BF05,5,1k,1000,MC_AIXI#4
35.9,1.0,16.8,BF05,5,1k,1000,MC_AIXI#5
43.0,0.4,20.5,BF05,5,1k,1000,Q_l#1
43.5,0.4,21.0,BF05,5,1k,1000,Q_l#2
41.4,0.5,23.4,BF05,5,1k,1000,Q_l#3
39.4,0.5,24.4,BF05,5,1k,1000,Q_l#4
38.4,0.5,23.8,BF05,5,1k,1000,Q_l#5
41.1,0.4,19.8,BF05,5,1k,1000,Q_0#1
40.7,0.4,21.2,BF05,5,1k,1000,Q_0#2
39.8,0.4,22.4,BF05,5,1k,1000,Q_0#3
36.7,0.4,22.6,BF05,5,1k,1000,Q_0#4
36.3,0.4,22.7,BF05,5,1k,1000,Q_0#5
40.6,0.4,22.5,BF05,5,2k,2000,Freq#1
40.8,0.4,22.0,BF05,5,2k,2000,Freq#2
41.5,0.4,21.3,BF05,5,2k,2000,Freq#3
40.7,0.4,20.9,BF05,5,2k,2000,Freq#4
40.5,0.4,20.8,BF05,5,2k,2000,Freq#5
49.1,0.4,22.8,BF05,5,2k,2000,H_l#1
49.4,0.4,21.0,BF05,5,2k,2000,H_l#2
50.0,0.4,21.2,BF05,5,2k,2000,H_l#3
46.4,0.4,22.5,BF05,5,2k,2000,H_l#4
43.1,0.5,23.5,BF05,5,2k,2000,H_l#5
48.0,1.3,20.4,BF05,5,2k,2000,MC_AIXI#1
47.7,1.3,20.5,BF05,5,2k,2000,MC_AIXI#2
46.2,1.2,18.9,BF05,5,2k,2000,MC_AIXI#3
46.3,1.2,19.1,BF05,5,2k,2000,MC_AIXI#4
40.5,1.1,17.8,BF05,5,2k,2000,MC_AIXI#5
45.6,0.4,19.8,BF05,5,2k,2000,Q_l#1
46.0,0.4,20.4,BF05,5,2k,2000,Q_l#2
44.8,0.4,22.9,BF05,5,2k,2000,Q_l#3
41.8,0.5,24.7,BF05,5,2k,2000,Q_l#4
39.2,0.5,23.9,BF05,5,2k,2000,Q_l#5
43.6,0.4,19.4,BF05,5,2k,2000,Q_0#1
43.9,0.4,20.6,BF05,5,2k,2000,Q_0#2
